B2_ionic_radius,A_electronegativity,B1_electronegativity,B2_electronegativity,B1_electron_affinity,B2_electron_affinity,X_electron_affinity,B1_first_ionization_energy,X_first_ionization_energy,A_second_ionization_energy,B1_second_ionization_energy,A_melting_point,B1_melting_point,B1_thermal_conductivity,A_boiling_point,B1_boiling_point,X_boiling_point,X_third_ionization_energy,band_gap
0.76,1.1,0.98,2.2,0.61804922,1.0463825,1.4611053,5.391714996,13.618055,11.513,75.640097,1629.0,453.69,85.0,3503.0,1615.0,90.2,54.93554,0.3348
0.86,1.2,2.2,1.31,1.5643615,-0.42,1.4611053,8.96702,13.618055,12.076,17.0,1585.0,2739.0,150.0,3523.0,4701.0,90.2,54.93554,0.0
0.88,1.2,1.54,1.65,0.075545,-0.62,1.4611053,6.82812,13.618055,12.076,13.5755,1585.0,1941.0,22.0,3523.0,3560.0,90.2,54.93554,2.7632
1.16,1.14,2.2,0.93,1.5643615,0.54792625,1.4611053,8.96702,13.618055,10.783,17.0,1297.0,2739.0,150.0,3373.0,4701.0,90.2,54.93554,0.0
0.76,1.22,1.91,2.2,1.1571612,1.0463825,1.4611053,7.639878,13.618055,12.2236,18.168838,1799.0,1728.0,91.0,3609.0,3186.0,90.2,54.93554,0.0
0.76,1.24,1.91,2.2,1.1571612,1.0463825,1.4611053,7.639878,13.618055,11.916,18.168838,1802.0,1728.0,91.0,3141.0,3186.0,90.2,54.93554,0.0
0.67,2.02,1.69,2.01,-0.72,1.232676413,1.4611053,8.99382,13.618055,16.703,16.908313,544.4,594.22,97.0,1837.0,1040.0,90.2,54.93554,2.1388
0.67,1.27,1.88,1.55,0.662265,-0.52,1.4611053,7.88101,13.618055,14.13,17.0844,1925.0,1768.0,100.0,3675.0,3200.0,90.2,54.93554,0.0
1.16,1.17,2.2,0.93,1.5643615,0.54792625,1.4611053,8.96702,13.618055,11.078,17.0,1345.0,2739.0,150.0,2076.0,4701.0,90.2,54.93554,0.0
1.16,0.79,1.24,0.93,0.312,0.54792625,3.401189824,6.1077,17.42282,23.15745,11.916,301.59,1802.0,15.0,944.0,3141.0,85.03,62.70798,6.8647
1.04,0.79,0.93,1.22,0.54792625,0.30712,3.401189824,5.13907696,17.42282,23.15745,47.28636,301.59,370.87,140.0,944.0,1156.0,85.03,62.70798,6.8639
1.098,0.79,0.93,1.17,0.54792625,0.162,3.401189824,5.13907696,17.42282,23.15745,47.28636,301.59,370.87,140.0,944.0,1156.0,85.03,62.70798,6.9248
1.16,0.79,1.12,0.93,0.572,0.54792625,3.401189824,5.5386,17.42282,23.15745,10.956,301.59,1068.0,11.0,944.0,3633.0,85.03,62.70798,6.3611
0.885,0.79,0.93,1.36,0.54792625,0.1882,3.401189824,5.13907696,17.42282,23.15745,47.28636,301.59,370.87,140.0,944.0,1156.0,85.03,62.70798,6.8066
1.16,0.79,1.88,0.93,0.662265,0.54792625,3.401189824,7.88101,17.42282,23.15745,17.0844,301.59,1768.0,100.0,944.0,3200.0,85.03,62.70798,0.9021
0.83,0.79,0.93,1.91,0.54792625,1.1571612,3.401189824,5.13907696,17.42282,23.15745,47.28636,301.59,370.87,140.0,944.0,1156.0,85.03,62.70798,0.0
0.885,0.82,0.93,1.36,0.54792625,0.1882,3.401189824,5.13907696,17.42282,27.28954,47.28636,312.46,370.87,140.0,961.0,1156.0,85.03,62.70798,6.9076
0.675,0.82,1.93,1.61,1.304473,0.432835,3.401189824,7.576234,17.42282,27.28954,21.4844,312.46,1234.93,430.0,961.0,2435.0,85.03,62.70798,3.2492
1.16,0.82,1.83,0.93,0.15323634,0.54792625,3.401189824,7.9024681,17.42282,27.28954,16.19921,312.46,1811.0,80.0,961.0,3134.0,85.03,62.70798,4.1186
0.68,0.82,0.93,1.63,0.54792625,0.527662,3.401189824,5.13907696,17.42282,27.28954,47.28636,312.46,370.87,140.0,961.0,1156.0,85.03,62.70798,0.0
1.16,0.82,1.81,0.93,0.3012011,0.54792625,3.401189824,5.999302,17.42282,27.28954,20.51514,312.46,302.91,29.0,961.0,2477.0,85.03,62.70798,5.9026
1.16,0.82,1.24,0.93,0.312,0.54792625,3.401189824,6.1077,17.42282,27.28954,11.916,312.46,1802.0,15.0,961.0,3141.0,85.03,62.70798,6.4981
1.16,0.82,1.66,0.93,0.6758412,0.54792625,3.401189824,6.76651,17.42282,27.28954,16.486305,312.46,2180.0,94.0,961.0,2944.0,85.03,62.70798,4.1608
1.04,0.82,0.93,1.22,0.54792625,0.30712,3.401189824,5.13907696,17.42282,27.28954,47.28636,312.46,370.87,140.0,961.0,1156.0,85.03,62.70798,6.4476
1.16,0.82,1.23,0.93,0.338,0.54792625,3.401189824,6.0215,17.42282,27.28954,11.781,312.46,1734.0,16.0,961.0,2993.0,85.03,62.70798,6.5279
0.94,0.82,1.93,1.78,1.304473,0.383926,3.401189824,7.576234,17.42282,27.28954,21.4844,312.46,1234.93,430.0,961.0,2435.0,85.03,62.70798,1.8555
0.755,0.89,2.02,1.66,0.94236213,0.6758412,1.4611053,7.285516,13.618055,10.003826,16.703,1000.0,544.4,8.0,2143.0,1837.0,90.2,54.93554,0.0
1.02,0.89,1.5,1.25,0.32312,1.02922,1.4611053,7.549571,13.618055,10.003826,16.2,1000.0,3290.0,57.0,2143.0,5731.0,90.2,54.93554,3.4065
0.76,0.89,2.02,2.05,0.94236213,1.04740119,1.4611053,7.285516,13.618055,10.003826,16.703,1000.0,544.4,8.0,2143.0,1837.0,90.2,54.93554,0.0
1.02,0.89,1.6,1.25,0.917407,1.02922,1.4611053,6.75885,13.618055,10.003826,14.32,1000.0,2750.0,54.0,2143.0,5017.0,90.2,54.93554,2.8502
0.76,0.89,1.2,2.2,0.11613,1.0463825,1.4611053,5.670385,13.618055,10.003826,11.24,1000.0,1099.0,14.0,2143.0,1800.0,90.2,54.93554,0.0
0.76,0.89,1.22,2.05,0.352,1.04740119,1.4611053,5.93905,13.618055,10.003826,11.647,1000.0,1680.0,11.0,2143.0,2840.0,90.2,54.93554,3.4688
1.04,0.89,2.16,1.22,0.74733,0.30712,1.4611053,7.09243,13.618055,10.003826,16.16,1000.0,2896.0,139.0,2143.0,4912.0,90.2,54.93554,0.0
0.87,0.89,1.83,1.38,0.15323634,0.53,1.4611053,7.9024681,13.618055,10.003826,16.19921,1000.0,1811.0,80.0,2143.0,3134.0,90.2,54.93554,0.5156
1.025,0.89,1.5,1.62,0.32312,0.32005319,1.4611053,7.549571,13.618055,10.003826,16.2,1000.0,3290.0,57.0,2143.0,5731.0,90.2,54.93554,2.241
0.87,0.89,1.36,1.38,0.1882,0.53,1.4611053,6.56149,13.618055,10.003826,12.79977,1000.0,1814.0,16.0,2143.0,3103.0,90.2,54.93554,0.8326
0.78,0.89,1.24,1.6,0.312,0.917407,1.4611053,6.1077,13.618055,10.003826,11.916,1000.0,1802.0,15.0,2143.0,3141.0,90.2,54.93554,2.8542
0.78,0.89,1.24,1.5,0.312,0.32312,1.4611053,6.1077,13.618055,10.003826,11.916,1000.0,1802.0,15.0,2143.0,3141.0,90.2,54.93554,3.3934
0.87,0.89,1.66,1.38,0.6758412,0.53,1.4611053,6.76651,13.618055,10.003826,16.486305,1000.0,2180.0,94.0,2143.0,2944.0,90.2,54.93554,0.9357
0.76,0.89,1.23,2.05,0.338,1.04740119,1.4611053,6.0215,13.618055,10.003826,11.781,1000.0,1734.0,16.0,2143.0,2993.0,90.2,54.93554,3.4155
0.78,0.89,1.27,1.5,0.23887,0.32312,1.4611053,5.425871,13.618055,10.003826,14.13,1000.0,1925.0,16.0,2143.0,3675.0,90.2,54.93554,3.4089
0.78,0.89,1.27,1.6,0.23887,0.917407,1.4611053,5.425871,13.618055,10.003826,14.13,1000.0,1925.0,16.0,2143.0,3675.0,90.2,54.93554,2.8479
0.67,0.89,1.69,1.9,-0.72,0.06039663,1.4611053,8.99382,13.618055,10.003826,16.908313,1000.0,594.22,97.0,2143.0,1040.0,90.2,54.93554,0.0
0.73,0.89,1.24,2.16,0.312,0.74733,1.4611053,6.1077,13.618055,10.003826,11.916,1000.0,1802.0,15.0,2143.0,3141.0,90.2,54.93554,0.0
1.04,0.89,2.05,1.22,1.04740119,0.30712,1.4611053,8.608389,13.618055,10.003826,16.626,1000.0,903.78,24.0,2143.0,1860.0,90.2,54.93554,3.5547
1.098,0.82,0.93,1.17,0.54792625,0.162,3.401189824,5.13907696,17.42282,27.28954,47.28636,312.46,370.87,140.0,961.0,1156.0,85.03,62.70798,6.3067
1.04,0.89,1.5,1.22,0.32312,0.30712,1.4611053,7.549571,13.618055,10.003826,16.2,1000.0,3290.0,57.0,2143.0,5731.0,90.2,54.93554,3.4639
1.0,0.89,1.55,1.28,-0.52,-0.5,1.4611053,7.434038,13.618055,10.003826,15.63999,1000.0,1519.0,7.8,2143.0,2334.0,90.2,54.93554,0.0
1.04,0.89,1.6,1.22,0.917407,0.30712,1.4611053,6.75885,13.618055,10.003826,14.32,1000.0,2750.0,54.0,2143.0,5017.0,90.2,54.93554,2.9072
0.73,0.89,1.69,2.16,-0.72,0.74733,1.4611053,8.99382,13.618055,10.003826,16.908313,1000.0,594.22,97.0,2143.0,1040.0,90.2,54.93554,2.5376
1.0,0.89,1.78,1.28,0.383926,-0.5,1.4611053,5.7863557,13.618055,10.003826,18.87041,1000.0,429.75,82.0,2143.0,2345.0,90.2,54.93554,0.0
0.78,0.89,1.23,1.5,0.338,0.32312,1.4611053,6.0215,13.618055,10.003826,11.781,1000.0,1734.0,16.0,2143.0,2993.0,90.2,54.93554,3.3782
0.78,0.89,1.23,1.6,0.338,0.917407,1.4611053,6.0215,13.618055,10.003826,11.781,1000.0,1734.0,16.0,2143.0,2993.0,90.2,54.93554,2.8516
0.76,0.89,1.24,2.05,0.312,1.04740119,1.4611053,6.1077,13.618055,10.003826,11.916,1000.0,1802.0,15.0,2143.0,3141.0,90.2,54.93554,3.3776
0.76,0.89,1.2,2.05,0.11613,1.04740119,1.4611053,5.670385,13.618055,10.003826,11.24,1000.0,1099.0,14.0,2143.0,1800.0,90.2,54.93554,0.0
1.025,0.89,2.05,1.62,1.04740119,0.32005319,1.4611053,8.608389,13.618055,10.003826,16.626,1000.0,903.78,24.0,2143.0,1860.0,90.2,54.93554,0.0
1.16,0.89,2.66,0.93,3.05905238,0.54792625,1.4611053,10.45126,13.618055,10.003826,19.13126,1000.0,386.85,0.449,2143.0,457.4,90.2,54.93554,2.2417
0.67,0.89,1.0,1.9,0.024551,0.06039663,1.4611053,6.11315547,13.618055,10.003826,11.871719,1000.0,1115.0,200.0,2143.0,1757.0,90.2,54.93554,0.0
0.67,0.89,0.93,1.9,0.54792625,0.06039663,1.4611053,5.13907696,13.618055,10.003826,47.28636,1000.0,370.87,140.0,2143.0,1156.0,90.2,54.93554,1.8688
0.67,0.89,1.23,1.9,0.338,0.06039663,1.4611053,6.0215,13.618055,10.003826,11.781,1000.0,1734.0,16.0,2143.0,2993.0,90.2,54.93554,0.0
0.78,0.89,1.22,1.6,0.352,0.917407,1.4611053,5.93905,13.618055,10.003826,11.647,1000.0,1680.0,11.0,2143.0,2840.0,90.2,54.93554,2.8705
0.78,0.89,1.22,1.5,0.352,0.32312,1.4611053,5.93905,13.618055,10.003826,11.647,1000.0,1680.0,11.0,2143.0,2840.0,90.2,54.93554,3.3837
1.04,0.89,1.9,1.22,0.06039663,0.30712,1.4611053,7.83352,13.618055,10.003826,16.6,1000.0,3459.0,48.0,2143.0,5869.0,90.2,54.93554,0.0
0.87,0.89,1.88,1.38,0.662265,0.53,1.4611053,7.88101,13.618055,10.003826,17.0844,1000.0,1768.0,100.0,2143.0,3200.0,90.2,54.93554,0.0
